arm,metric,original,rewrites,diff,ci_lo,ci_hi,p,p_method,n_groups
minilm_finetuned,status simulator_calibrated,0.9444444444444444,0.5972222222222222,-0.3472222222222222,-0.4722222222222222,-0.2222222222222222,0.00030517578125,exact,18
minilm_finetuned_indomain,severity accuracy,0.9444444444444444,0.7777777777777778,-0.16666666666666666,-0.3055555555555556,-0.027777777777777776,0.048828125,exact,18
minilm_finetuned_indomain,status turbofan,0.9444444444444444,0.9166666666666666,-0.027777777777777776,-0.1111111111111111,0.05555555555555555,0.75,exact,18
minilm_finetuned_indomain,status simulator,0.9444444444444444,0.9120370370370371,-0.032407407407407406,-0.125,0.05555555555555555,0.625,exact,18
minilm_finetuned_indomain,status simulator_calibrated,0.9444444444444444,0.9120370370370369,-0.03240740740740741,-0.11574074074074076,0.05555555555555555,0.5625,exact,18
minilm_logreg,severity accuracy,0.8888888888888888,0.5416666666666666,-0.3472222222222222,-0.4861111111111111,-0.19444444444444445,0.001220703125,exact,18
minilm_logreg,status turbofan,0.9444444444444444,0.875,-0.06944444444444445,-0.1527777777777778,0.027777777777777776,0.28125,exact,18
minilm_logreg,status simulator,0.9444444444444444,0.8564814814814815,-0.08796296296296297,-0.18518518518518517,0.013888888888888888,0.1796875,exact,18
minilm_logreg,status simulator_calibrated,0.9444444444444444,0.8611111111111112,-0.08333333333333333,-0.16666666666666666,0.013888888888888888,0.1875,exact,18
minilm_logreg_indomain,severity accuracy,0.7222222222222222,0.6111111111111112,-0.1111111111111111,-0.2777777777777778,0.05555555555555555,0.27783203125,exact,18
minilm_logreg_indomain,status turbofan,0.9444444444444444,0.9027777777777778,-0.041666666666666664,-0.125,0.05555555555555555,0.5625,exact,18
minilm_logreg_indomain,status simulator,0.9444444444444444,0.8981481481481483,-0.046296296296296294,-0.1388888888888889,0.05092592592592593,0.5,exact,18
minilm_logreg_indomain,status simulator_calibrated,0.9444444444444444,0.898148148148148,-0.04629629629629631,-0.12962962962962965,0.041666666666666664,0.40625,exact,18
qwen3_4b__production,severity accuracy,0.6666666666666666,0.5972222222222222,-0.06944444444444445,-0.3194444444444444,0.16666666666666666,0.671875,exact,18
qwen3_4b__production,status turbofan,0.7592592592592593,0.8333333333333334,0.07407407407407406,-0.08796296296296297,0.24537037037037035,0.4296875,exact,18
qwen3_4b__production,status simulator,0.5925925925925926,0.6203703703703703,0.027777777777777776,-0.17129629629629628,0.2222222222222222,0.841796875,exact,18
qwen3_4b__production,status simulator_calibrated,0.7037037037037037,0.7685185185185185,0.06481481481481483,-0.02777777777777779,0.17592592592592593,0.28515625,exact,18
qwen3_8_27b__production,severity accuracy,1.0,1.0,0.0,0.0,0.0,1.0,exact,18
qwen3_8_27b__production,status turbofan,0.9814814814814814,0.9537037037037037,-0.027777777777777776,-0.06944444444444445,0.0,0.5,exact,18
qwen3_8_27b__production,status simulator,0.8888888888888888,0.8240740740740741,-0.06481481481481481,-0.13425925925925924,-0.009259259259259257,0.125,exact,18
