arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
minilm_logreg_indomain,simulator,unfamiliar,0.8981481481481481,0.8981481481481481,0.0,0.0,0.0,1.0,exact,18
minilm_logreg_indomain,simulator_calibrated,unfamiliar,0.8981481481481481,0.8981481481481481,0.0,0.0,0.0,1.0,exact,18
minilm_logreg_indomain,turbofan,unfamiliar,0.9027777777777778,0.9027777777777778,0.0,0.0,0.0,1.0,exact,18
qwen3_4b__production,simulator,unfamiliar,0.6203703703703703,0.8564814814814815,0.2361111111111111,0.06944444444444445,0.4305555555555556,0.0625,exact,18
qwen3_4b__production,simulator_calibrated,unfamiliar,0.7685185185185185,0.8518518518518519,0.08333333333333333,0.018518518518518517,0.16203703703703706,0.0390625,exact,18
qwen3_4b__production,turbofan,unfamiliar,0.8333333333333334,0.8611111111111112,0.027777777777777776,0.0,0.06944444444444445,0.25,exact,18
qwen3_8_27b__production,simulator,unfamiliar,0.8240740740740741,0.9953703703703703,0.17129629629629628,0.041666666666666664,0.337962962962963,0.03125,exact,18
qwen3_8_27b__production,simulator_calibrated,unfamiliar,0.9629629629629629,0.9953703703703703,0.03240740740740741,0.0,0.0925925925925926,0.5,exact,18
qwen3_8_27b__production,turbofan,unfamiliar,0.9537037037037037,1.0,0.0462962962962963,0.0,0.125,0.5,exact,18
qwen3_8_27b__semantic,simulator,unfamiliar,0.7083333333333334,0.9398148148148148,0.2314814814814815,0.06481481481481483,0.4444444444444444,0.0625,exact,18
qwen3_8_27b__semantic,simulator_calibrated,unfamiliar,0.9398148148148148,0.9398148148148148,0.0,0.0,0.0,1.0,exact,18
qwen3_8_27b__semantic,turbofan,unfamiliar,0.875,0.9444444444444444,0.06944444444444445,0.0,0.1898148148148148,0.25,exact,18
tfidf_logreg,simulator,unfamiliar,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg,simulator_calibrated,unfamiliar,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg,turbofan,unfamiliar,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg_indomain,simulator,unfamiliar,0.9398148148148148,0.9398148148148148,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg_indomain,simulator_calibrated,unfamiliar,0.9398148148148148,0.9398148148148148,0.0,0.0,0.0,1.0,exact,18
tfidf_logreg_indomain,turbofan,unfamiliar,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,1.0,exact,18
