arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
embedding_severity,turbofan,unfamiliar,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,1.0,exact,42
fixed_midrange,simulator,unfamiliar,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,42
fixed_midrange,simulator_calibrated,unfamiliar,0.626984126984127,0.6507936507936508,0.023809523809523808,0.0,0.055555555555555546,0.25,exact,42
fixed_midrange,turbofan,unfamiliar,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,exact,42
gemini_2_5_flash__production,simulator,unfamiliar,0.8253968253968254,0.9603174603174603,0.1349206349206349,0.03968253968253968,0.246031746031746,0.03125,exact,42
gemini_2_5_flash__production,simulator_calibrated,unfamiliar,0.9682539682539683,0.9761904761904762,0.007936507936507936,-0.015873015873015872,0.031746031746031744,1.0,exact,42
gemini_2_5_flash__production,turbofan,unfamiliar,0.9523809523809523,0.9603174603174603,0.007936507936507936,0.0,0.023809523809523808,1.0,exact,42
gemini_2_5_flash__semantic,simulator,unfamiliar,0.8253968253968254,0.9206349206349206,0.09523809523809523,0.023809523809523808,0.19047619047619047,0.125,exact,42
gemini_2_5_flash__semantic,simulator_calibrated,unfamiliar,0.9285714285714286,0.9444444444444444,0.015873015873015872,0.0,0.03968253968253968,0.5,exact,42
gemini_2_5_flash__semantic,turbofan,unfamiliar,0.9365079365079365,0.9444444444444444,0.007936507936507936,0.0,0.023809523809523808,1.0,exact,42
gemini_2_5_flash_nothink__production,simulator,unfamiliar,0.8571428571428571,0.9761904761904762,0.11904761904761904,0.023809523809523808,0.21428571428571427,0.0625,exact,42
gemini_2_5_flash_nothink__production,simulator_calibrated,unfamiliar,0.9841269841269841,0.9841269841269841,0.0,-0.031746031746031744,0.031746031746031744,1.0,exact,42
gemini_2_5_flash_nothink__production,turbofan,unfamiliar,0.9603174603174603,0.9761904761904762,0.015873015873015872,0.0,0.047619047619047616,1.0,exact,42
gemini_3_5_flash__production,simulator,unfamiliar,0.8412698412698413,0.9603174603174603,0.11904761904761904,0.023809523809523808,0.21428571428571427,0.0625,exact,42
gemini_3_5_flash__production,simulator_calibrated,unfamiliar,0.9682539682539683,0.9761904761904762,0.007936507936507936,-0.015873015873015872,0.031746031746031744,1.0,exact,42
gemini_3_5_flash__production,turbofan,unfamiliar,0.9523809523809523,0.9603174603174603,0.007936507936507936,0.0,0.023809523809523808,1.0,exact,42
gemini_3_5_flash__semantic,simulator,unfamiliar,0.8968253968253969,0.9761904761904762,0.07936507936507936,0.007936507936507936,0.16666666666666666,0.125,exact,42
gemini_3_5_flash__semantic,simulator_calibrated,unfamiliar,0.9841269841269841,0.9920634920634921,0.007936507936507936,-0.015873015873015872,0.031746031746031744,1.0,exact,42
gemini_3_5_flash__semantic,turbofan,unfamiliar,0.9682539682539683,0.9761904761904762,0.007936507936507936,0.0,0.023809523809523808,1.0,exact,42
